Top Level Categories,Color,Newsblur Feed,Permalink
Tech,"#3C82F6
",https://www.newsblur.com/reader/folder_rss/726429/c76620a15829/unread/technology,www.buzzytoday.com/tech
Science,"#10B981
",https://www.newsblur.com/reader/folder_rss/726429/c76620a15829/unread/science,www.buzzytoday.com/science
Health,"#8554F6
",https://www.newsblur.com/reader/folder_rss/726429/c76620a15829/unread/health,www.buzzytoday.com/health
Sports,"#F59E09
",https://www.newsblur.com/reader/folder_rss/726429/c76620a15829/unread/sports,www.buzzytoday.com/sports
Entertainment,#EC4999,https://www.newsblur.com/reader/folder_rss/726429/c76620a15829/unread/entertainment,www.buzzytoday.com/entertainment
Politics,"#6467F1
",https://www.newsblur.com/reader/folder_rss/726429/c76620a15829/unread/politics,www.buzzytoday.com/politics
Money,"#059669
",https://www.newsblur.com/reader/folder_rss/726429/c76620a15829/unread/money,www.buzzytoday.com/money
Crypto,#F9751A,https://www.newsblur.com/reader/folder_rss/726429/c76620a15829/unread/crypto,www.buzzytoday.com/crypto
News,"#EF4040
",https://www.newsblur.com/reader/folder_rss/726429/c76620a15829/unread/good-news,www.buzzytoday.com/news
Markets,#2B4C95,https://www.newsblur.com/reader/folder_rss/726429/c76620a15829/unread/markets,www.buzzytoday.com/markets
Lifestyle,"#DA4BF0
",https://www.newsblur.com/reader/folder_rss/726429/c76620a15829/unread/lifestyle,www.buzzytoday.com/lifestyle
